 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  C- C- H- H- H- H

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    016.67    042.81   
      C      6    016.67    042.81   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 450.00 keV   4.291E-01  3.195E-04    6.68 um     2657 A      2475 A   
 500.00 keV   4.003E-01  2.918E-04    7.82 um     3155 A      2783 A   
 550.00 keV   3.758E-01  2.687E-04    9.03 um     3644 A      3113 A   
 600.00 keV   3.547E-01  2.492E-04   10.31 um     4129 A      3462 A   
 650.00 keV   3.363E-01  2.325E-04   11.67 um     4614 A      3832 A   
 700.00 keV   3.201E-01  2.180E-04   13.10 um     5099 A      4219 A   
 800.00 keV   2.928E-01  1.940E-04   16.17 um     6804 A      5048 A   
 900.00 keV   2.707E-01  1.751E-04   19.50 um     8392 A      5943 A   
   1.00 MeV   2.524E-01  1.597E-04   23.09 um     9927 A      6900 A   
   1.10 MeV   2.404E-01  1.469E-04   26.91 um     1.14 um     7909 A   
   1.20 MeV   2.286E-01  1.361E-04   30.91 um     1.29 um     8961 A   
   1.30 MeV   2.160E-01  1.268E-04   35.14 um     1.43 um     1.01 um  
   1.40 MeV   2.048E-01  1.188E-04   39.60 um     1.58 um     1.12 um  
   1.50 MeV   1.947E-01  1.118E-04   44.30 um     1.73 um     1.24 um  
   1.60 MeV   1.857E-01  1.056E-04   49.24 um     1.88 um     1.37 um  
   1.70 MeV   1.775E-01  1.001E-04   54.41 um     2.03 um     1.50 um  
   1.80 MeV   1.701E-01  9.519E-05   59.82 um     2.19 um     1.63 um  
   2.00 MeV   1.570E-01  8.672E-05   71.32 um     2.76 um     1.92 um  
   2.25 MeV   1.434E-01  7.812E-05   86.97 um     3.58 um     2.31 um  
   2.50 MeV   1.322E-01  7.115E-05  104.03 um     4.36 um     2.73 um  
   2.75 MeV   1.227E-01  6.537E-05  122.47 um     5.12 um     3.18 um  
   3.00 MeV   1.146E-01  6.049E-05  142.27 um     5.89 um     3.67 um  
   3.25 MeV   1.076E-01  5.633E-05  163.42 um     6.65 um     4.18 um  
   3.50 MeV   1.015E-01  5.272E-05  185.88 um     7.43 um     4.72 um  
   3.75 MeV   9.612E-02  4.957E-05  209.66 um     8.21 um     5.30 um  
   4.00 MeV   9.133E-02  4.679E-05  234.72 um     9.00 um     5.90 um  
   4.50 MeV   8.315E-02  4.211E-05  288.63 um    11.91 um     7.19 um  
   5.00 MeV   7.643E-02  3.832E-05  347.56 um    14.66 um     8.59 um  
   5.50 MeV   7.080E-02  3.518E-05  411.42 um    17.34 um    10.10 um  
   6.00 MeV   6.601E-02  3.253E-05  480.13 um    20.02 um    11.72 um  
   6.50 MeV   6.188E-02  3.027E-05  553.63 um    22.70 um    13.45 um  
   7.00 MeV   5.828E-02  2.832E-05  631.86 um    25.41 um    15.28 um  
   8.00 MeV   5.230E-02  2.511E-05  802.07 um    35.30 um    19.25 um  
   9.00 MeV   4.751E-02  2.258E-05  990.58 um    44.55 um    23.62 um  
  10.00 MeV   4.360E-02  2.053E-05    1.20 mm    53.60 um    28.38 um  
  11.00 MeV   4.033E-02  1.884E-05    1.42 mm    62.64 um    33.53 um  
  12.00 MeV   3.755E-02  1.741E-05    1.66 mm    71.75 um    39.06 um  
  13.00 MeV   3.516E-02  1.619E-05    1.92 mm    80.97 um    44.96 um  
  14.00 MeV   3.309E-02  1.514E-05    2.20 mm    90.33 um    51.22 um  
  15.00 MeV   3.127E-02  1.422E-05    2.49 mm    99.84 um    57.84 um  
  16.00 MeV   2.965E-02  1.341E-05    2.80 mm   109.52 um    64.82 um  
  17.00 MeV   2.821E-02  1.269E-05    3.12 mm   119.36 um    72.14 um  
  18.00 MeV   2.691E-02  1.205E-05    3.46 mm   129.37 um    79.81 um  
  20.00 MeV   2.468E-02  1.095E-05    4.19 mm   166.64 um    96.18 um  
  22.50 MeV   2.240E-02  9.836E-06    5.19 mm   219.97 um   118.51 um  
  25.00 MeV   2.054E-02  8.936E-06    6.29 mm   270.60 um   142.87 um  
  27.50 MeV   1.900E-02  8.192E-06    7.48 mm   320.30 um   169.21 um  
  30.00 MeV   1.769E-02  7.567E-06    8.76 mm   369.84 um   197.47 um  
  32.50 MeV   1.657E-02  7.033E-06   10.13 mm   419.64 um   227.63 um  
  35.00 MeV   1.560E-02  6.572E-06   11.59 mm   469.90 um   259.63 um  
  37.50 MeV   1.475E-02  6.171E-06   13.14 mm   520.76 um   293.44 um  
  40.00 MeV   1.400E-02  5.817E-06   14.77 mm   572.27 um   329.03 um  
  45.00 MeV   1.273E-02  5.222E-06   18.30 mm   763.19 um   405.41 um  
  50.00 MeV   1.169E-02  4.741E-06   22.15 mm   942.55 um   488.52 um  
  55.00 MeV   1.084E-02  4.345E-06   26.32 mm     1.12 mm   578.13 um  
  60.00 MeV   1.011E-02  4.011E-06   30.81 mm     1.29 mm   674.01 um  
  65.00 MeV   9.496E-03  3.727E-06   35.61 mm     1.46 mm   775.98 um  
  70.00 MeV   8.960E-03  3.481E-06   40.70 mm     1.64 mm   883.83 um  
  80.00 MeV   8.078E-03  3.079E-06   51.75 mm     2.28 mm     1.12 mm  
  90.00 MeV   7.382E-03  2.763E-06   63.92 mm     2.87 mm     1.37 mm  
 100.00 MeV   6.817E-03  2.507E-06   77.17 mm     3.44 mm     1.65 mm  
 110.00 MeV   6.350E-03  2.296E-06   91.46 mm     4.00 mm     1.94 mm  
 120.00 MeV   5.957E-03  2.119E-06  106.74 mm     4.57 mm     2.25 mm  
 130.00 MeV   5.622E-03  1.968E-06  122.98 mm     5.13 mm     2.58 mm  
 140.00 MeV   5.332E-03  1.838E-06  140.15 mm     5.69 mm     2.93 mm  
 150.00 MeV   5.080E-03  1.725E-06  158.21 mm     6.26 mm     3.29 mm  
 160.00 MeV   4.858E-03  1.625E-06  177.13 mm     6.83 mm     3.67 mm  
 170.00 MeV   4.660E-03  1.536E-06  196.89 mm     7.40 mm     4.06 mm  
 180.00 MeV   4.484E-03  1.457E-06  217.45 mm     7.98 mm     4.46 mm  
 200.00 MeV   4.183E-03  1.322E-06  260.86 mm    10.11 mm     5.31 mm  
 225.00 MeV   3.880E-03  1.185E-06  319.20 mm    13.10 mm     6.43 mm  
 250.00 MeV   3.636E-03  1.075E-06  381.77 mm    15.86 mm     7.62 mm  
 275.00 MeV   3.436E-03  9.842E-07  448.26 mm    18.50 mm     8.87 mm  
 300.00 MeV   3.268E-03  9.079E-07  518.40 mm    21.05 mm    10.17 mm  
 325.00 MeV   3.127E-03  8.429E-07  591.92 mm    23.54 mm    11.51 mm  
 350.00 MeV   3.005E-03  7.869E-07  668.59 mm    25.98 mm    12.90 mm  
 375.00 MeV   2.900E-03  7.381E-07  748.20 mm    28.38 mm    14.32 mm  
 400.00 MeV   2.808E-03  6.951E-07  830.56 mm    30.75 mm    15.77 mm  
 450.00 MeV   2.656E-03  6.230E-07    1.00 m     39.35 mm    18.76 mm  
 500.00 MeV   2.535E-03  5.649E-07    1.18 m     47.08 mm    21.83 mm  
 550.00 MeV   2.437E-03  5.169E-07    1.37 m     54.28 mm    24.97 mm  
 600.00 MeV   2.356E-03  4.767E-07    1.57 m     61.09 mm    28.17 mm  
