 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 550.00 MeV   2.151E-03  4.681E-07  718.14 mm    28.81 mm    23.27 mm  
 600.00 MeV   2.083E-03  4.320E-07  819.69 mm    32.39 mm    26.19 mm  
 650.00 MeV   2.026E-03  4.012E-07  924.34 mm    35.80 mm    29.15 mm  
 700.00 MeV   1.979E-03  3.746E-07    1.03 m     39.09 mm    32.12 mm  
 800.00 MeV   1.903E-03  3.310E-07    1.25 m     50.44 mm    38.08 mm  
 900.00 MeV   1.847E-03  2.968E-07    1.48 m     60.30 mm    44.03 mm  
   1.00 GeV   1.805E-03  2.692E-07    1.72 m     69.21 mm    49.94 mm  
   1.10 GeV   1.773E-03  2.465E-07    1.96 m     77.44 mm    55.77 mm  
   1.20 GeV   1.747E-03  2.273E-07    2.20 m     85.12 mm    61.52 mm  
   1.30 GeV   1.728E-03  2.111E-07    2.45 m     92.35 mm    67.17 mm  
   1.40 GeV   1.712E-03  1.970E-07    2.70 m     99.20 mm    72.73 mm  
   1.50 GeV   1.700E-03  1.848E-07    2.95 m    105.73 mm    78.17 mm  
   1.60 GeV   1.690E-03  1.740E-07    3.21 m    111.96 mm    83.52 mm  
   1.70 GeV   1.683E-03  1.645E-07    3.46 m    117.93 mm    88.76 mm  
   1.80 GeV   1.677E-03  1.560E-07    3.72 m    123.66 mm    93.89 mm  
   2.00 GeV   1.669E-03  1.414E-07    4.23 m    143.99 mm   103.86 mm  
   2.25 GeV   1.665E-03  1.267E-07    4.88 m    171.03 mm   115.77 mm  
   2.50 GeV   1.665E-03  1.149E-07    5.52 m    194.43 mm   127.13 mm  
   2.75 GeV   1.667E-03  1.051E-07    6.17 m    215.30 mm   137.96 mm  
   3.00 GeV   1.671E-03  9.694E-08    6.82 m    234.27 mm   148.32 mm  
   3.25 GeV   1.676E-03  8.997E-08    7.46 m    251.73 mm   158.25 mm  
   3.50 GeV   1.682E-03  8.396E-08    8.10 m    267.97 mm   167.78 mm  
   3.75 GeV   1.688E-03  7.872E-08    8.74 m    283.18 mm   176.95 mm  
   4.00 GeV   1.695E-03  7.412E-08    9.37 m    297.51 mm   185.78 mm  
   4.50 GeV   1.709E-03  6.640E-08   10.64 m    347.79 mm   202.53 mm  
   5.00 GeV   1.722E-03  6.017E-08   11.89 m    391.03 mm   218.21 mm  
   5.50 GeV   1.736E-03  5.504E-08   13.14 m    429.38 mm   232.98 mm  
   6.00 GeV   1.749E-03  5.074E-08   14.37 m    464.07 mm   246.94 mm  
   6.50 GeV   1.761E-03  4.708E-08   15.60 m    495.90 mm   260.19 mm  
   7.00 GeV   1.773E-03  4.392E-08   16.82 m    525.41 mm   272.82 mm  
